date,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,MW,MSP,THRTEMP,YRHRPRS,RRHRPRS,YRHRTEMPT,RRHRTEMPT,MWD2,A02P003G,A02P004G,PAB10CT101,PAB20CT101,PAB20CT102,NOM,MSPS,SELFP1,A017P005,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,BMOUT,TOTALCOAL,TAF,O2,FWFLOW,A09M210SHH,resolution
2016-04-01 01:40:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.17094000000000004,0.091576,0.091576,0.091576,0.9523823,2.4725299999999995,0.15873,0.4578749999999999,0.7631259999999999,0.4578749999999999,0.335776,2.83883,899.6159,29.078129999999998,601.0114000000001,9.420789999999998,2.4671899999999996,599.601,603.9847,898.3133000000001,66070.05999999998,7509.13,14.5143,14.4115,15.542399999999997,5.0,29.36249,0.0,128.57999999999998,36.51404,30.341890000000006,36.04397,29.688639999999992,10.6776618,2.24054,14.664216499999998,59.10867,890.6749,312.76840000000004,3225.298,3.3926299999999996,2311.12,2826.4759999999997,0
2016-04-01 01:50:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.15873,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.18925500000000003,0.4578749999999999,0.7692309999999999,0.4578749999999999,0.335776,2.83883,890.3652999999998,28.934050000000003,601.249,9.420789999999998,2.4671899999999996,599.4941,603.5515,891.0638000000001,66081.37999999999,7509.13,14.5143,14.4115,15.542399999999997,5.0,29.339730000000003,0.0,128.57999999999998,4.0476160000000005,2.2222240999999996,4.026248600000001,1.6727716200000002,1.2393168,2.216119999999999,8.1501792,26.49573,879.7765999999999,306.5911,3182.924,3.4035259999999994,2305.4190000000003,2806.4129999999996,0
2016-04-01 02:00:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.177045,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.17094000000000004,0.4578749999999999,0.7631259999999999,0.4578749999999999,0.335776,2.83883,895.3332999999999,29.10437,602.7052000000001,9.420789999999998,2.4671899999999996,600.7513999999999,604.1219000000001,894.5030999999999,66092.69999999998,7509.13,14.5143,14.4115,15.542399999999997,5.0,29.34396,0.0,128.57999999999998,0.0,0.9279620000000002,0.0,0.1159956,11.819294000000001,2.100125,28.21125,28.742380000000004,882.7098,309.745,3209.8840000000005,3.2733980000000003,2324.7259999999997,2801.2599999999998,0
2016-04-01 02:10:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.189255,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.17704500000000004,0.4578749999999999,0.7692309999999999,0.4578749999999999,0.335776,2.83883,889.5088,29.194110000000002,601.9609,9.420789999999998,2.4671899999999996,601.3097,604.2387000000001,889.0775,66104.04999999999,7509.13,14.50402,14.4115,15.542399999999997,5.0,29.228520000000003,0.0,128.57999999999998,0.457876,1.1172176000000003,0.5402936,0.39072148,25.238090000000003,4.035410000000001,35.152640000000005,47.08181,875.7735,305.4456,3163.546,3.2371790000000003,2287.9629999999997,2812.108,0
2016-04-01 02:20:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.18315,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.17094000000000004,0.4578749999999999,0.7692309999999999,0.4578749999999999,0.335776,2.83883,888.3099,29.271049999999995,603.2178999999999,9.420789999999998,2.4671899999999996,602.1488999999999,604.4217,888.2331999999999,66115.40000000001,7509.13,14.51173,14.4115,15.542399999999997,5.0,29.09076,0.0,128.57999999999998,10.079366,7.869338000000001,10.03053,7.7472520000000005,62.20392,24.090350000000004,44.71307,88.60807,869.8642,308.30789999999996,3161.1250000000005,3.148717,2266.458,2830.3430000000003,0
2016-04-01 02:30:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.189255,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.189255,0.4578749999999999,0.7814409999999998,0.4578749999999999,0.335776,2.83883,893.1919999999998,29.428560000000004,601.027,9.420789999999998,2.4671899999999996,601.8531999999999,605.1742999999999,892.5716,66126.78,7509.13,14.5143,14.42692,15.542399999999997,5.0,29.289619999999996,0.0,128.57999999999998,23.0464,16.88642,22.918200000000002,16.40414,75.16484,34.76802,40.512829999999994,95.32967000000001,872.5339,305.41099999999994,3160.609,3.14487,2263.8360000000002,2833.055,0
2016-04-01 02:40:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.20757000000000003,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.18315,0.4578749999999999,0.7997559999999998,0.4578749999999999,0.335776,2.83883,887.8814,29.175819999999998,602.634,9.28709,2.544722,600.9739000000002,604.6201,887.7743,66138.06,7509.13,14.50916,14.4115,15.542399999999997,5.0,29.195029999999996,0.0,128.68120000000005,28.22958,19.60926,28.07694,18.93162,37.948710000000005,6.544561,25.409049999999997,75.23808999999999,871.5007999999998,305.8356,3169.997,3.166346,2263.0679999999998,2838.1900000000005,0
2016-04-01 02:50:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.189255,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.19536000000000003,0.4578749999999999,0.7814409999999998,0.4578749999999999,0.335776,2.83883,882.8279999999999,28.907180000000004,604.2288000000001,9.08654,2.66102,600.8134,604.2580999999998,882.327,66149.25,7509.13,14.48603,14.39865,15.542399999999997,5.0,29.01883,0.0,128.83300000000003,24.078139999999998,10.311352,23.85837,10.012197,3.3455436000000014,2.5152650000000003,14.358950000000002,49.19413999999999,866.5029999999999,299.6227,3153.655,3.2474340000000006,2264.756,2831.295,0
2016-04-01 03:00:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.189255,0.091576,0.091576,0.091576,0.946277,2.4664249999999996,0.20757000000000003,0.4578749999999999,0.7875459999999999,0.4578749999999999,0.335776,2.83883,886.2541000000001,28.802789999999998,602.4613000000002,9.08654,2.66102,600.7164,603.8346999999999,885.7234000000001,66160.50999999998,7509.13,14.480889999999999,14.396080000000001,15.542399999999997,5.0,29.09801,0.0,128.83300000000003,2.005491,0.8241759999999998,2.0421210000000003,0.0030525599999999997,1.0683768,2.002445,2.9181936,9.6611686,872.0840000000001,306.025,3187.7169999999996,3.328206,2300.57,2807.113,0
2016-04-01 03:10:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.17094000000000004,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.19536000000000003,0.4578749999999999,0.7875459999999999,0.4578749999999999,0.335776,2.83883,879.3161,28.793029999999998,603.7331999999999,9.08654,2.66102,601.3246999999999,603.8204,878.7139999999999,66171.81,7509.13,14.50916,14.4115,15.542399999999997,5.0,28.9613,0.0,128.83300000000003,0.302198,1.0134317999999998,0.20757050000000002,0.28083099999999994,1.3247872,2.30159,5.702071999999999,13.8888845,862.3826999999999,299.3798,3151.9309999999996,3.233332,2272.214,2812.4370000000004,0
2016-04-01 03:20:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.18315000000000003,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.189255,0.4578749999999999,0.8119659999999997,0.4578749999999999,0.335776,2.83883,867.3245999999999,28.591560000000005,603.8063,9.08654,2.66102,601.0699999999999,603.1835,866.8109000000001,66183.09,7509.13,14.493739999999999,14.4115,15.542399999999997,5.0,28.55093,0.0,128.83300000000003,3.2661797,2.6007350000000002,3.3333347000000004,2.5580000000000003,3.3394396,2.7289400000000006,11.514044999999998,40.31138,848.7221,296.39320000000004,3109.204,3.1448729999999996,2232.1119999999996,2832.004,0
