date,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,YRHRPRS,YRHRTEMPT,RRHRPRS,RRHRTEMPT,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,MW,MWD2,MSP,MSPS,THRTEMP,A02P003G,A02P004G,PAB10CT101,PAB20CT101,PAB20CT102,NOM,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,BMOUT,FWFLOW,A09M210SHH,TOTALCOAL,TAF,O2,SELFP1,A017P005,resolution
2016-05-01 00:00:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,69.4,69.4,9.619960000000003,601.3689000000002,2.4152899999999997,601.5863000000002,0.18925500000000003,0.091576,14.877877999999999,0.091576,5.586081,0.091576,0.43345500000000003,1.03785,1.2515300000000003,0.4151399999999999,0.7631259999999999,2.600735,893.7917000000001,894.6288000000001,28.7149,29.263740000000002,590.7449,120145.3,7509.13,19.707019999999996,19.58861,19.62982,6.0,0.0,1.8009799999999996,0.4456651,0.7509159999999999,1.06837,3.388280000000001,1.4835200000000004,0.0,982.0355,2406.698,2757.2940000000003,389.7474,3422.5670000000005,3.5685890000000002,0.0,137.6651,0
2016-05-01 00:10:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,73.0,73.0,9.619960000000003,601.8151,2.4152899999999997,601.5056999999999,0.20757000000000003,0.091576,6.019534999999999,0.091576,0.18009806,0.091576,0.42734999999999995,1.050058,1.2515300000000003,0.39682499999999993,0.7631259999999999,2.6007349999999994,901.2434000000001,901.0002999999999,29.016489999999997,29.471519999999998,589.9612000000001,120154.2,7509.13,19.694119999999998,19.591179999999998,19.619500000000006,6.0,0.0,1.7887699999999995,0.40903539999999994,0.732601,1.0317459999999998,3.3333350000000004,1.5873050000000002,0.0,990.0038000000001,2420.779,2775.353,392.7788,3449.7339999999995,3.477563,0.0,137.46499999999997,0
2016-05-01 00:20:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,73.0,73.0,9.619960000000003,601.9228,2.4152899999999997,602.0172,0.17094000000000004,0.091576,3.760685,0.091576,0.0,0.091576,0.42735009999999996,1.056162,1.2515300000000003,0.39682499999999993,0.7631259999999999,2.600735,892.6782,892.5008,29.12393,29.38348,593.083,120163.3,7509.13,19.691539999999996,19.580899999999996,19.619500000000006,6.0,0.0,1.7948749999999998,0.4212453,0.702076,1.0073299999999998,3.32723,2.1367540000000003,0.0,979.7994999999999,2378.252,2795.5,389.18190000000004,3423.7650000000003,3.446155,0.0,137.46499999999997,0
2016-05-01 00:30:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,73.0,73.0,9.619960000000003,603.3263000000001,2.4152899999999997,602.9738000000001,0.17704500000000004,0.091576,2.735045,0.091576,2.866301,0.091576,0.42124510000000004,1.050058,1.2515300000000003,0.39682499999999993,0.7631259999999999,2.600735,886.5966000000001,886.4141000000002,29.11172,29.08188,597.8716000000001,120172.3,7509.13,19.683799999999998,19.580899999999996,19.601460000000003,6.0,0.0,1.7826649999999997,0.335776,0.6898658,1.1294299999999997,3.32723,8.913315,0.0,971.3132000000002,2359.305,2807.9099999999994,387.0122,3357.1449999999995,3.3048080000000004,0.0,137.46499999999997,0
2016-05-01 00:40:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,73.0,73.0,9.619960000000003,603.9902,2.4152899999999997,602.8029,0.17094000000000004,0.091576,2.28938,0.091576,9.963364,0.091576,0.445665,1.03785,1.2515300000000003,0.39682499999999993,0.7631259999999999,2.6007349999999994,885.3118000000001,885.4532999999999,29.06409,29.045430000000003,598.3987,120181.4,7509.13,19.683799999999998,19.580899999999996,19.593750000000007,6.0,0.0,1.78877,0.335776,0.641025,1.2026899999999998,3.32723,19.194120000000005,0.0,972.5387999999999,2359.55,2814.254,385.0924,3342.689,3.292306,0.0,137.46499999999997,0
2016-05-01 00:50:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,73.0,73.0,9.619960000000003,603.1492000000001,2.4152899999999997,602.3956000000001,0.18315000000000003,0.091576,1.6666675999999998,0.091576,15.32354,0.091576,0.4212451,1.050058,1.2515300000000003,0.39682499999999993,0.7631259999999999,2.6007349999999994,889.9372,889.0251000000001,28.95297,29.1428,594.6555000000001,120190.5,7509.13,19.683799999999998,19.580899999999996,19.609180000000002,6.0,0.0,1.77656,0.335776,0.641025,1.0073299999999998,3.388280000000001,5.030524000000001,0.0,979.8035,2377.581,2798.201,388.2141,3386.405,3.4198730000000004,0.0,137.46499999999997,0
2016-05-01 01:00:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,73.0,73.0,9.619960000000003,603.5961,2.4152899999999997,602.3578,0.19536000000000003,0.091576,1.7399285,0.091576,18.96215,0.091576,0.43956,1.062266,1.2515300000000003,0.39682499999999993,0.7631259999999999,2.60684,890.1940000000001,889.5763999999999,29.11416,29.174160000000008,595.1288,120199.5,7509.13,19.683799999999998,19.580899999999996,19.586039999999997,6.0,0.0,1.7460349999999998,0.335776,0.641025,1.0317499999999997,3.388280000000001,3.308915,0.012210160000000001,979.2115,2381.489,2800.3729999999996,390.76,3378.9019999999996,3.292626,0.0,137.46499999999997,0
2016-05-01 01:10:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,73.0,73.0,9.619960000000003,604.4318999999999,2.4152899999999997,602.6988000000001,0.17704500000000004,0.091576,6.636140000000002,0.091576,22.967009999999995,0.091576,0.43956,1.050058,1.2515300000000003,0.39682499999999993,0.7631259999999999,2.6190499999999997,886.9393000000002,886.4684,29.26678,29.1308,598.0043999999999,120208.5,7509.13,19.68638,19.580899999999996,19.609180000000002,6.0,0.0,1.7399299999999998,0.335776,0.641025,1.5201499999999997,3.73016,21.520138,0.0,973.3312,2357.376,2812.2380000000003,385.8457,3360.719,3.345514,0.0,137.46499999999997,0
2016-05-01 01:20:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,73.0,73.0,9.619960000000003,604.1277,2.4152899999999997,602.7438,0.17704500000000004,0.091576,10.061049,0.091576,24.224669999999996,0.091576,0.42735,1.06837,1.2515300000000003,0.39682499999999993,0.7631259999999999,2.6068399999999996,882.5708999999999,881.9495000000001,29.010990000000003,28.990750000000002,597.9621000000001,120217.5,7509.13,19.683799999999998,19.580899999999996,19.583469999999995,6.0,0.0,1.7399299999999998,0.335776,0.6654452999999999,1.0561699999999996,3.92552,37.72283,0.0061051199999999995,970.7888,2331.925,2814.864,382.6188,3343.025,3.5083330000000004,0.0,137.46499999999997,0
2016-05-01 01:30:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,73.0,73.0,9.619960000000003,604.7167000000001,2.4152899999999997,602.6073,0.177045,0.091576,11.245409,0.5128216999999999,23.10744,0.091576,0.43956,1.062266,1.2515300000000003,0.6166051000000001,0.7631259999999999,2.6068399999999996,881.1148999999999,880.3492,28.835770000000004,28.921139999999998,597.3529999999998,120226.6,7509.13,19.683799999999998,19.580899999999996,19.591179999999998,6.0,0.0,1.7399299999999998,0.335776,0.6898654,1.2454249999999996,3.321125,34.07816999999999,0.0,972.6804,2338.593,2811.724,384.79540000000003,3340.2599999999998,3.4089739999999997,0.0,137.46499999999997,0
