date,A017P005,A02P003G,A02P004G,A09M210SHH,BMOUT,FWFLOW,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,MSP,MSPS,MW,MWD2,NOM,O2,PAB10CT101,PAB20CT101,PAB20CT102,RRHRPRS,RRHRTEMPT,SELFP1,TAF,THRTEMP,TOTALCOAL,YRHRPRS,YRHRTEMPT,resolution
2015-11-30 22:20:00,127.901,100.00540000000001,7509.13,2908.47,742.0650000000002,1925.591,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,63.0,63.0,100.0,100.0,0.0,3.101343000000001,0.152625,0.0,0.6349201,2.8571450000000005,0.5555555999999999,0.0,0.213675,0.2747260000000001,0.091576,0.091576,0.335776,1.8620300000000003,0.2747260000000001,0.5799760000000002,0.7631259999999999,0.702076,0.091576,3.2051299999999996,24.316219999999998,24.43828,738.331,738.6964,5.0,4.025001,15.267410000000002,15.182600000000004,570.7200000000001,2.2367199999999996,579.894,0.0,2740.79,590.4132000000002,264.7777,7.712909999999999,587.0115000000001,0
2015-11-30 22:30:00,127.901,100.0049,7509.13,2906.529,732.2931000000001,1886.9270000000001,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,56.1,56.1,100.0,100.0,0.0,0.5189260000000001,0.152625,0.0,0.5799760000000002,2.808305,0.39682499999999993,0.0,0.213675,0.2747260000000001,0.091576,0.091576,0.335776,1.8620300000000003,0.2747260000000001,0.5799760000000002,0.7570209999999998,0.702076,0.091576,3.2051299999999996,23.516460000000002,23.78655,719.9154999999998,719.6928,5.0,3.9516039999999997,15.262270000000001,15.180030000000006,570.7200000000001,2.2367199999999996,574.1544,0.0,2653.532,585.1286999999999,262.1563,7.712909999999999,583.7176999999999,0
2015-11-30 22:40:00,127.901,100.00500000000001,7509.13,2920.755,694.9759000000001,1788.5520000000001,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,50.7,50.4,100.0,100.0,0.0,23.1196582,1.5140420000000003,0.0,0.5799760000000002,27.588529,17.484738599999996,2.7442,0.213675,0.2747260000000001,0.091576,0.091576,0.3479858,1.8620300000000003,0.2747260000000001,0.5860809000000001,0.7631259999999999,0.702076,0.091576,3.2051299999999996,23.174569999999996,23.057750000000006,695.1617,695.5080999999998,5.0,3.745514000000001,15.254560000000001,15.167180000000005,570.7200000000001,2.2367199999999996,571.5363,0.0,2585.1699999999996,588.8100000000001,251.83160000000004,7.712909999999999,583.5964,0
2015-11-30 22:50:00,127.901,100.00500000000001,7509.13,2887.48,686.3138,1721.5800000000004,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,50.0,50.0,100.0,100.0,0.119048,56.48351,4.279608,0.47924300000000003,1.8498168,50.45178,33.56532,19.658112999999997,0.213675,0.2747260000000001,0.091576,0.091576,0.335776,2.0146550000000003,0.2747260000000001,0.5860809000000001,0.7570209999999998,0.702076,0.091576,3.2051299999999996,22.39314,22.54453,679.4015,680.008,4.1,3.825,15.244280000000003,15.156900000000004,570.7200000000001,2.2367199999999996,575.3043000000001,0.0,2413.62,594.4526,248.82980000000003,7.712909999999999,582.3223,0
2015-11-30 23:00:00,129.3073,100.0051,7509.13,2861.638,696.586,1737.31,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,65.0,64.7,93.8,93.8,21.846777999999997,49.743590000000005,0.0,4.169711,25.665434499999996,14.371179999999995,3.3699652000000007,30.396830000000005,0.213675,0.2747260000000001,0.091576,0.091576,0.335776,2.10623,0.2747260000000001,0.5860809000000001,0.7631259999999999,0.702076,0.091576,3.2051299999999996,21.978009999999998,22.265909999999998,679.1446,679.0463,4.0,3.223397,15.236570000000006,15.138910000000005,570.7200000000001,2.2367199999999996,582.8668,0.0,2539.657,598.5180000000001,258.00660000000005,7.712909999999999,580.5406,0
2015-11-30 23:10:00,128.89899999999997,100.0053,7509.13,2900.011000000001,692.0301999999999,1699.309,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,100.0,99.0,65.0,64.8,47.34432,37.47863,0.0,5.631862,99.41990999999999,19.120886000000002,0.8424913,12.811350999999998,0.213675,0.2747260000000001,0.091576,0.091576,0.335776,2.10623,0.28083100000000005,0.5799760000000002,0.7631259999999999,0.702076,0.091576,3.1746049999999997,22.490820000000006,22.460350000000005,680.9434,680.296,4.0,3.4897440000000004,15.231430000000007,15.131200000000003,570.7200000000001,2.2367199999999996,586.1082,0.0,2670.989,596.4419000000001,252.47069999999994,7.712909999999999,583.2597,0
2015-11-30 23:20:00,125.68029999999999,100.00559999999999,7509.13,2930.6590000000006,683.2160000000001,1673.1580000000001,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,96.0,95.4,100.0,99.0,57.490840000000006,30.921870000000002,0.00915768,0.525031,72.24053,33.168510000000005,0.9279623000000001,0.7142860000000001,0.213675,0.2747260000000001,0.091576,0.091576,0.335776,2.10623,0.28083100000000005,0.5860809000000001,0.7570209999999998,0.702076,0.091576,3.1440799999999998,21.97189,22.153330000000004,667.5812,666.8743000000002,4.0,4.223717,15.22115,15.131200000000003,570.7200000000001,2.2367199999999996,581.7655,0.0,2687.809,591.9707000000002,247.8852,7.412772000000001,585.7481999999999,0
2015-11-30 23:30:00,122.671,100.0047,7509.13,2911.2259999999997,695.3451000000002,1699.236,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,78.6,78.6,100.0,99.0,47.686189999999996,14.792433599999999,0.030525599999999993,0.06715584,38.095240000000004,18.150178,1.0073299999999998,0.888279,0.213675,0.2747260000000001,0.091576,0.091576,0.335776,2.10623,0.2747260000000001,0.5860809000000001,0.7631259999999999,0.702076,0.091576,3.1440799999999998,21.556769999999993,21.995070000000005,666.0395000000001,667.3287,4.0,4.298397,15.2083,15.131200000000003,570.7200000000001,2.2367199999999996,581.7816,0.0,2676.151,592.9408999999998,255.06389999999996,6.712449999999999,584.9915,0
2015-11-30 23:40:00,120.66720000000001,100.0043,7509.13,2877.6949999999997,715.8802000000001,1766.6999999999996,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,76.0,76.0,100.0,99.0,13.742363000000001,0.702076,0.030525599999999993,0.54945172,5.6105024,3.4249100000000006,0.9829087999999999,5.67154,0.213675,0.2747260000000001,0.091576,0.091576,0.335776,2.17949,0.2747260000000001,0.5860809000000001,0.7631259999999999,0.702076,0.091576,3.1440799999999998,21.7094,22.19477,678.8875999999999,679.9053,4.0,4.242948,15.2083,15.131200000000003,570.7200000000001,2.2367199999999996,582.9899000000001,0.0,2740.953,591.8041999999999,269.28110000000004,6.712449999999999,583.891,0
2015-11-30 23:50:00,119.86600000000001,100.005,7509.13,2878.685,751.0743,1839.8260000000002,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,78.0,78.0,100.0,99.0,7.8693490000000015,3.8827842000000006,0.00915768,31.996343560000003,69.7436,39.884,1.135532,54.79241999999999,0.213675,0.2747260000000001,0.091576,0.091576,0.335776,2.246645,0.2747260000000001,0.5799760000000002,0.7631259999999999,0.702076,0.091576,3.1440799999999998,23.49816,23.366000000000003,720.0868,719.5537,4.0,3.6990380000000003,15.2083,15.131200000000003,570.7200000000001,2.2367199999999996,590.2615,0.0,2854.4559999999997,599.3892,278.579,6.712449999999999,588.2504000000001,0
