startDate,endDate,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,YRHRPRS,YRHRTEMPT,RRHRPRS,RRHRTEMPT,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,LAB80CT101,LBC21CT101,LBC21CP101,LBC51CP101,LBC51CT101,MW,MWD2,MSP,MSPS,THRTEMP,A02P003G,A02P004G,PAB10CT101,PAB10CT102,PAB20CT101,PAB20CT102,NOM,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,BMOUT,FWFLOW,A09M210SHH,TOTALCOAL,TAF,O2,SELFP1,A017P005
2016-01-05 17:21:00,2016-01-05 18:16:00,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,89.875,89.875,100.0,100.0,9.16896,590.8904107142856,2.67857,593.9410535714285,0.1864205535714286,0.091576,0.091576,0.091576,2.034278214285714,1.8358657142857144,0.16243660714285715,0.518926,1.8620300000000003,0.7554947499999999,0.8841368035714288,3.2661799999999994,309.90916071428575,420.4028392857143,9.559437142857144,3.041612142857143,421.5138928571428,905.1864821428571,904.9663035714285,29.411950000000008,29.371560714285717,600.208982142857,7831.36,7509.129999999999,11.1751,11.118214285714286,11.08479107142857,11.0981,5.0,0.03761125,18.017400892857143,7.886352410714285,2.812664392857143,3.9715238214285717,31.369924464285713,17.371464857142858,51.36327178571428,951.4271071428573,2365.275,2821.5414285714287,331.2345714285714,3227.9166071428576,2.982430178571429,0.0,125.41499999999999
2016-01-06 17:27:00,2016-01-06 17:57:00,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,100.0,100.0,83.0,83.0,9.061350000000001,595.1099032258063,2.6427000000000014,596.3253870967744,0.1585330645161291,0.09157599999999998,0.09157599999999998,0.5799759999999998,1.3736299999999995,1.9860993548387096,0.27866467741935486,0.5799759999999998,1.7261445161290323,0.8399312580645164,0.8241760000000004,3.266180000000001,309.9394516129032,421.920935483871,9.540494516129032,3.0294725806451615,425.12396774193553,905.1751290322579,904.3489677419352,29.329632258064517,29.332961290322583,600.7953870967742,7831.359999999996,7509.130000000001,11.325809677419354,11.267851612903222,11.233890322580645,11.253780645161287,5.0,0.10831470967741935,62.549719354838714,52.1534935483871,7.626335561290322,10.464180290322581,10.861989677419354,21.878576935483874,26.5469284516129,948.9917096774195,2320.2890322580643,2851.586774193549,320.6376451612904,3278.91870967742,3.0942929032258064,0.0,126.39899999999997
2016-01-07 16:11:00,2016-01-07 16:53:00,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,60.0,60.0,100.0,100.0,9.253660000000002,585.513511627907,2.6816199999999997,581.5706511627907,0.149785511627907,0.09157599999999999,0.09157599999999999,0.09157599999999999,1.8705486046511626,1.5184462790697673,0.11713139534883725,0.5231853023255814,1.5638788372093024,0.7460887674418605,0.7645457674418604,3.2675997674418595,310.43974418604654,413.77967441860454,9.702473953488372,3.076169767441861,415.95913953488366,910.0059302325581,909.6705348837211,29.473239534883717,29.545772093023256,591.2913720930233,7907.327441860465,7509.130000000001,11.4987,11.436606976744187,11.404348837209302,11.421669767441863,5.0,0.0,47.50192790697674,98.94601627906975,0.4223813953488372,0.7105945116279069,11.133116279069768,30.38519069767442,0.0,944.8323720930233,2387.3030232558144,2890.6169767441856,321.2178372093023,3093.370697674419,3.014907441860465,0.0,126.21874418604654
2016-01-07 17:04:00,2016-01-07 17:33:00,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,60.0,60.0,100.0,100.0,9.253660000000002,586.3276000000001,2.6816199999999992,581.2325000000001,0.15669500000000003,0.09157599999999998,0.09157599999999998,0.09157599999999998,1.69923,1.4977650000000002,0.14855506666666668,0.5229960000000001,1.5689899999999999,0.7346359666666668,0.763126,3.2661800000000007,310.60699999999997,414.24979999999994,9.756044,3.0886659999999995,416.0564333333333,913.9486000000002,914.7728666666668,29.53642,29.61160666666667,592.2135,7921.257,7509.130000000001,11.39247,11.343663333333334,11.306909999999997,11.318029999999998,5.0,0.0,47.43692133333333,58.45964173333334,0.0,0.6980059333333337,11.436719666666669,30.875048166666666,0.0,948.0222666666667,2419.566,2880.4736666666668,327.7773,3103.28,2.8223296666666666,0.0,124.44599999999997
2016-01-07 17:44:00,2016-01-07 19:33:00,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,60.0,60.0,100.0,100.0,9.253659999999996,586.3442181818183,2.68162,582.3626454545454,0.1515150181818182,0.091576,0.091576,0.091576,1.5490099999999993,1.5007250000000008,0.13431030909090913,0.5189260000000002,1.5578900000000002,0.7448110000000001,0.7642359999999999,3.2667349999999997,310.8404545454546,413.17517272727287,9.767454000000003,3.09724390909091,416.2762545454545,916.6843272727275,916.6730636363635,29.77711909090909,29.790892727272716,591.6270909090908,7945.223727272727,7509.130000000002,11.417827272727273,11.357847272727275,11.32282,11.343134545454543,5.0,0.0,53.281446972727274,67.21612445454547,0.4548227272727273,0.7398160363636364,24.22300318181818,34.26351379090909,0.0,943.9222909090909,2408.546272727273,2881.3444545454545,324.0763909090909,3112.619272727273,2.988432090909091,0.0,125.01132727272723
2016-01-07 21:01:00,2016-01-07 21:31:00,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,72.41935483870968,60.0,60.0,100.0,100.0,9.253660000000004,588.8889354838709,2.681619999999999,583.9498387096772,0.15262500000000007,0.09157599999999998,0.09157599999999998,0.09157599999999998,2.1613719354838707,1.5764735483870962,0.1309624516129032,0.5189260000000001,1.564657419354839,0.7631260000000003,0.7650953548387097,3.266180000000001,310.46790322580654,414.8654193548387,9.696213870967743,3.0727099999999994,418.3735483870967,910.176193548387,910.6809032258066,29.308354838709672,29.59730322580646,592.3014516129032,7992.320967741935,7509.130000000001,11.380470967741934,11.324977419354836,11.284416129032255,11.30678387096774,5.0,0.0,49.17286032258065,43.44893383870968,0.0,0.642994935483871,18.256935161290325,37.87763225806451,0.0,943.9200000000002,2395.3635483870976,2834.0287096774196,319.37003225806444,3096.249677419355,3.10763,0.0,122.95767741935485
2016-01-08 08:48:00,2016-01-08 09:37:00,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,70.08,70.08,100.0,100.0,9.022440000000001,590.16392,2.6274400000000004,587.9554199999999,0.17216100000000004,0.091576,0.091576,0.091576,2.04518,1.738709,0.15018304000000002,0.520147,1.55678,0.65811938,0.7631259999999999,3.2686219999999993,311.29564000000005,412.37874000000005,9.837564400000002,3.1195043999999994,419.2202599999999,922.8794399999999,922.8735800000001,29.945549999999997,29.930214000000007,590.69608,8206.285000000002,7509.13,11.230541999999998,11.165848,11.13657,11.153523999999999,5.0,0.0,1.2319909999999998,2.5885214000000003,0.0,0.6300361800000001,2.2417612,27.497563519999993,0.0,945.6505400000001,2468.236,2826.6396000000004,323.48197999999996,3174.2346,2.705128,0.0,122.71900000000001
2016-01-08 09:43:00,2016-01-08 10:57:00,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,62.0,62.0,100.0,100.0,9.02244,595.01332,2.6274400000000004,594.3332266666666,0.21123300000000006,0.091576,0.091576,0.091576,2.0541339999999995,1.705742,0.16320701333333337,0.521368,1.55678,0.7387059066666666,0.7639399999999998,3.2678079999999987,311.2102000000001,419.12800000000004,9.746947200000001,3.0918016,424.5989333333333,921.3717999999998,921.4992666666666,29.99268133333333,29.92778933333333,598.8439066666667,8226.205733333332,7509.13,11.363019999999999,11.304821333333333,11.268887999999999,11.289081333333332,5.0,0.0,4.823765815999999,52.10785333333333,0.14041520000000002,0.7647533599999999,25.105820399999995,44.50916266666667,0.15873017333333334,928.822666666667,2407.1902666666665,2881.0159999999996,314.8400933333333,3165.5297333333333,3.0453417333333332,0.0,125.90612000000002
2016-01-08 13:11:00,2016-01-08 14:00:00,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,73.12,73.12,100.0,100.0,9.022440000000001,590.45774,2.6274400000000004,587.1856600000001,0.18803402000000002,0.091576,0.091576,0.091576,2.000003,1.6727750000000003,0.16605600000000006,0.527473,1.5604430000000002,0.6874237599999998,0.7643469999999999,3.2661799999999994,310.25358,416.31472,9.631473999999999,3.0546529999999996,420.17306000000013,906.0571199999999,905.2491399999999,29.482312,29.429794,594.6543,8282.616,7509.13,11.530941999999998,11.469321999999998,11.431828000000001,11.45135,5.0,0.0,8.11110768,32.649575992,0.054334600000000004,0.68498198,19.609281,34.16238904,0.0,934.10394,2379.258,2849.3271999999997,313.08876000000004,3197.7846000000004,2.961603,0.0,121.08872
2016-01-08 16:12:00,2016-01-08 16:57:00,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,65.0,65.0,100.0,100.0,9.368130000000003,593.4482391304348,2.728170000000001,592.3322826086954,0.20703913043478267,0.09157599999999999,0.09157599999999999,0.09157599999999999,1.5076745652173913,1.7306397826086963,0.16456956521739138,0.5268890434782609,1.559434347826087,0.7352552826086957,0.7631259999999999,3.2675071739130424,311.7105,416.59602173913044,9.833303695652173,3.1208597826086963,422.8758260869567,926.1907608695652,926.4032826086958,30.187660869565217,30.110941304347822,595.4508913043479,8335.804347826086,7509.130000000001,11.469769565217392,11.407273913043475,11.374889130434783,11.393867391304347,5.0,0.0,2.7684854347826082,60.31484936956521,0.028534347826086954,0.6343893913043478,15.431066956521741,32.26230943478261,0.0,949.8008695652175,2429.001304347826,2851.706739130435,318.2773913043478,3259.9667391304356,2.943701739130435,3.317608695652174e-05,118.89699999999999
