startDate,endDate,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,YRHRPRS,YRHRTEMPT,RRHRPRS,RRHRTEMPT,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,MW,MWD2,MSP,MSPS,THRTEMP,A02P003G,A02P004G,PAB10CT101,PAB10CT102,PAB20CT101,PAB20CT102,NOM,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,BMOUT,FWFLOW,A09M210SHH,TOTALCOAL,TAF,O2,SELFP1,A017P005
2015-12-01 00:26:00,2015-12-01 01:19:00,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.33333333333333,85.33333333333333,100.0,99.0,9.565613703703702,599.8868518518519,2.2367200000000005,596.1258703703703,0.21367500000000006,0.27472599999999997,0.09157599999999999,0.09157599999999999,0.33803707407407396,2.0485716666666662,0.2939454444444444,0.5946729814814814,0.7552121111111111,0.7032065555555554,0.09157599999999999,3.2469605555555554,924.3253703703704,923.9814814814815,29.912703703703706,30.0259462962963,594.9618333333334,100.00533333333333,7509.13,15.2083,571.5819999999998,15.122122222222227,570.7200000000003,5.0,2.0892662962962962,74.34537777777778,3.235650740740741,0.5714966740740741,18.039168296296307,33.89748703703704,21.104098574074072,15.104238574074074,942.8705925925926,2408.9385185185183,2888.2388888888895,335.9359074074074,3441.4350000000004,2.837073333333334,0.0,120.19914814814811
2015-12-01 05:55:00,2015-12-01 08:08:00,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,65.0,65.0,100.0,99.0,10.086108955223883,596.0617388059701,2.73657,595.110343283582,0.21367500000000003,0.2747260000000001,0.091576,0.091576,0.33987630597014923,1.9772960447761194,0.27654838805970156,0.5845318955223882,0.7585700223880596,0.7016203955223881,0.091576,3.20513,972.8545671641791,972.6200597014924,30.816707462686566,30.717773880597022,593.3371716417909,100.00503731343284,7509.129999999999,15.188929104477616,571.5820000000001,15.089496268656717,570.7200000000001,5.0,0.06378373134328358,40.81309607910448,9.229493029850746,0.09954805970149254,0.7344231716417912,24.78632746268657,11.238679231343284,2.653628029850746,1007.2949626865674,2583.5364179104477,2845.8892537313436,347.1238731343284,3599.2333582089555,2.8942305223880602,0.0,123.61685074626868
2015-12-02 06:43:00,2015-12-02 07:38:00,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,100.0,100.0,73.78571428571429,73.78571428571429,9.10028,595.5047857142856,2.3679799999999998,596.4131071428571,0.21367500000000003,0.274726,0.091576,0.091576,0.335776,1.985220178571429,0.15371517857142858,0.591967767857143,0.7140679642857144,0.7969215357142857,0.08067414285714285,3.247646964285714,911.9469285714285,913.2374821428572,29.63084642857143,29.71640892857143,596.0700892857143,100.00485714285715,7509.129999999999,15.127012499999998,571.582,15.04301607142857,570.7200000000001,5.0,1.1981067857142857,44.60688071428571,19.877248517857144,21.05845377857143,12.668980946428572,27.906416964285714,25.602866517857137,49.50505735714285,955.703875,2352.5017857142857,2892.4246428571428,332.63792857142863,3279.2303571428574,2.747996607142857,0.0,121.206
2015-12-03 05:46:00,2015-12-03 07:14:00,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,100.0,100.0,73.59550561797752,73.61797752808988,9.2491104494382,590.2311123595505,2.5656299999999996,590.8866741573034,0.20064185393258427,0.27061020224719107,0.091576,0.091576,0.335776,2.019799662921348,0.15125311235955055,0.582719775280899,0.7164810561797752,0.7164810561797752,0.091576,3.2510889887640446,921.681786516854,921.2898764044945,29.97460224719101,29.9770202247191,594.8932584269663,100.00531460674159,7509.130000000001,14.765524719101123,571.5820000000001,14.678029213483144,570.7200000000001,5.0,3.0679359550561793,21.010479168539327,4.1126461348314605,8.065809280898875,0.9071769662921347,8.651618764044944,4.487177921348315,62.24295606741573,976.6854606741572,2437.371573033708,2841.554157303371,340.9293033707865,3391.0785393258425,2.892538202247191,0.0,121.259
2015-12-03 13:58:00,2015-12-03 18:39:00,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,97.39007092198581,97.39007092198581,78.65957446808511,78.44680851063829,9.942748226950355,597.2286312056738,2.62668,601.4924078014184,0.21129361702127664,0.2716950992907802,0.091576,0.091576,0.335776,2.10319914893617,0.152625,0.5804089716312059,0.7120345070921985,0.7823935567375886,0.091576,3.2495103191489356,995.1716560283688,995.4335319148938,30.961304964539007,30.95774787234043,598.7261524822695,100.00550709219858,7509.13,14.615824113475174,571.582,14.526603191489361,570.7200000000001,5.0,31.040924219858155,23.838315070921983,10.737122626241135,11.36441193617021,18.066926872340428,12.256339468085107,20.410418104255317,9.348452431205674,1060.538365248227,2605.418475177305,2842.561134751773,360.78362765957445,3598.7096808510632,2.995760992907801,0.0,122.34565957446807
2015-12-03 18:41:00,2015-12-03 21:25:00,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,100.0,100.0,75.0,75.0,10.237018424242422,594.9610606060605,2.9013785454545458,599.0690545454545,0.19221500000000002,0.268065890909091,0.091576,0.091576,0.335776,2.09365,0.152625,0.5799760000000003,0.706886,0.7834759999999998,0.091576,3.2058699999999996,991.4355696969698,991.1961575757576,31.07479212121212,30.999098181818187,597.403993939394,100.00516363636363,7509.130000000001,14.638438787878785,571.5820000000002,14.548410909090908,570.7200000000001,5.0,30.177597636363636,19.57653398787879,0.691161109090909,1.8701659818181822,2.2227773696969697,3.8899995757575754,9.316419798787878,0.3237504666666667,1031.9318606060606,2616.099757575758,2837.997393939394,349.9552727272727,3551.3669090909093,3.098815575757575,0.0,121.8033818181818
2015-12-04 06:12:00,2015-12-04 07:08:00,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,89.84210526315789,89.7719298245614,100.0,100.0,9.233060000000002,588.8024385964912,2.40079,593.3220350877192,0.18261447368421055,0.2704417192982456,0.091576,0.091576,0.335776,1.98413,0.14084361403508772,0.5799760000000002,0.6945785087719298,0.7181417894736841,0.091576,3.20513,914.2279824561404,915.0559122807017,29.724715789473684,29.89767543859649,595.733596491228,100.00561403508772,7509.129999999999,14.399326315789475,571.5819999999999,14.309601754385966,570.7200000000001,5.0,26.369876842105267,12.856397122807019,16.13703229824561,12.421019947368421,45.04155671929825,22.86110385964912,33.13786115789473,34.363171140350886,934.0545087719299,2372.360701754386,2862.7647368421053,327.4558947368421,3270.6092982456144,3.3055549122807015,0.0,116.40499999999999
2015-12-04 07:10:00,2015-12-04 07:49:00,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,97.0,97.0,100.0,100.0,9.23306,589.3336499999999,2.40079,593.006525,0.177045,0.274726,0.091576,0.091576,0.335776,1.98413,0.1465201,0.5815022250000002,0.691392075,0.70360225,0.091576,3.2051299999999996,911.4788500000001,911.3015750000001,29.6352025,29.65559,596.4412749999999,100.00572500000001,7509.13,14.39865,571.582,14.30935,570.72,5.0,37.73732965000001,14.023193375,29.435281550000003,17.651095750000003,48.07540845,36.311054,38.734739375,39.528388,931.2936249999999,2345.839,2866.19475,330.009675,3228.6639999999998,3.1528847499999997,0.0,116.405
2015-12-04 08:38:00,2015-12-04 11:56:00,87.8140703517588,87.8140703517588,87.8140703517588,87.8140703517588,87.8140703517588,87.8140703517588,87.8140703517588,87.8140703517588,87.78894472361809,87.78894472361809,87.78894472361809,87.78894472361809,87.78894472361809,87.78894472361809,87.78894472361809,87.78894472361809,87.78894472361809,87.78894472361809,87.78894472361809,87.78894472361809,98.99497487437186,98.99497487437186,79.32663316582915,79.12562814070351,10.138660201005024,598.0199597989949,2.5310891959799005,600.7731005025124,0.20968680904522607,0.27472600000000014,0.091576,0.091576,0.33577600000000013,2.0740176884422117,0.15201144723618093,0.5830437889447239,0.6747717839195981,0.7643531356783919,0.091576,3.2465458291457283,984.1745879396985,984.4103417085427,30.717635175879398,30.646106030150754,599.7344221105527,100.00500502512563,7509.13,14.46328743718593,571.5820000000001,14.372757286432158,570.7200000000003,5.0,0.35433546231155777,1.4705738190954774,0.4905480532663317,0.48517922412060305,2.1034650251256286,4.575534723618089,7.765168376884422,3.295473522613065,1034.2245979899499,2602.528391959799,2825.771407035176,358.7234221105528,3562.463266331658,3.1945139698492464,0.0,119.9958693467337
2015-12-04 13:02:00,2015-12-04 22:31:00,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,95.02456140350877,95.00350877192983,70.81754385964912,70.81754385964912,10.243612736842103,600.1519228070176,3.0167699298245614,599.7019842105262,0.21174710526315793,0.272476752631579,0.091576,0.091576,0.335776,2.180453947368421,0.20532085789473686,0.5824393807017546,0.7417049210526315,0.7334578421052631,0.08836282105263159,3.2289073684210523,995.6523894736841,996.6918736842106,30.81129947368421,30.747109122807018,600.0891807017543,100.00522631578947,7509.129999999999,14.344364385964912,571.5820000000001,14.254778245614038,570.7200000000001,5.0,1.710633456140351,2.742327892982456,6.041972092982456,0.5392757614035087,8.203842761403509,6.401369122807017,10.180473921754388,5.14287809122807,997.3423035087719,2633.5794385964914,2835.2097894736844,347.42538771929827,3519.9738245614035,2.788573947368421,0.0,123.71734035087718
